stringId_A,stringId_B,preferredName_A,preferredName_B,ncbiTaxonId,score,nscore,fscore,pscore,ascore,escore,dscore,tscore
7227.FBpp0079468,7227.FBpp0084879,FKBP59,trp,7227,0.687,0,0,0,0,0.085,0.54,0.316
7227.FBpp0079468,7227.FBpp0084879,FKBP59,trp,7227,0.687,0,0,0,0,0.085,0.54,0.316
7227.FBpp0079468,7227.FBpp0088428,FKBP59,sw,7227,0.901,0,0,0,0.047,0.046,0.9,0
7227.FBpp0079468,7227.FBpp0088428,FKBP59,sw,7227,0.901,0,0,0,0.047,0.046,0.9,0
7227.FBpp0082511,7227.FBpp0289115,Caf1,kis,7227,0.451,0,0,0,0.052,0.201,0.212,0.189
7227.FBpp0082511,7227.FBpp0289115,Caf1,kis,7227,0.451,0,0,0,0.052,0.201,0.212,0.189
7227.FBpp0082538,7227.FBpp0083851,ear,Nup98-96,7227,0.68,0,0,0,0.051,0,0,0.677
7227.FBpp0082538,7227.FBpp0083851,ear,Nup98-96,7227,0.68,0,0,0,0.051,0,0,0.677
7227.FBpp0083075,7227.FBpp0112455,CstF-64,Su(f),7227,0.999,0,0,0,0.148,0.987,0.967,0.996
7227.FBpp0083075,7227.FBpp0112455,CstF-64,Su(f),7227,0.999,0,0,0,0.148,0.987,0.967,0.996
7227.FBpp0083075,7227.FBpp0083105,CstF-64,Cpsf73,7227,0.999,0,0,0,0.195,0.874,0.967,0.981
7227.FBpp0083075,7227.FBpp0083105,CstF-64,Cpsf73,7227,0.999,0,0,0,0.195,0.874,0.967,0.981
7227.FBpp0083105,7227.FBpp0083860,Cpsf73,Rpn9,7227,0.556,0,0.517,0,0.119,0,0,0
7227.FBpp0083105,7227.FBpp0083860,Cpsf73,Rpn9,7227,0.556,0,0.517,0,0.119,0,0,0
7227.FBpp0083105,7227.FBpp0083851,Cpsf73,Nup98-96,7227,0.904,0,0,0,0.084,0,0.9,0
7227.FBpp0083105,7227.FBpp0083851,Cpsf73,Nup98-96,7227,0.904,0,0,0,0.084,0,0.9,0
7227.FBpp0083105,7227.FBpp0112455,Cpsf73,Su(f),7227,0.999,0,0,0,0.109,0.737,0.967,0.977
7227.FBpp0083105,7227.FBpp0112455,Cpsf73,Su(f),7227,0.999,0,0,0,0.109,0.737,0.967,0.977
7227.FBpp0083851,7227.FBpp0112136,Nup98-96,GCC185,7227,0.433,0,0,0,0.066,0.286,0,0.219
7227.FBpp0083851,7227.FBpp0112136,Nup98-96,GCC185,7227,0.433,0,0,0,0.066,0.286,0,0.219
7227.FBpp0084040,7227.FBpp0289115,ash2,kis,7227,0.713,0,0,0,0.09,0.305,0,0.583
7227.FBpp0084040,7227.FBpp0289115,ash2,kis,7227,0.713,0,0,0,0.09,0.305,0,0.583
7227.FBpp0084879,7227.FBpp0085139,trp,chp,7227,0.506,0,0,0,0.407,0.043,0,0.2
7227.FBpp0084879,7227.FBpp0085139,trp,chp,7227,0.506,0,0,0,0.407,0.043,0,0.2
7227.FBpp0087959,7227.FBpp0099904,rnh1,Mus201,7227,0.48,0.201,0,0,0.091,0.085,0,0.31
7227.FBpp0087959,7227.FBpp0099904,rnh1,Mus201,7227,0.48,0.201,0,0,0.091,0.085,0,0.31
7227.FBpp0088529,7227.FBpp0302749,Zasp66,Zasp67,7227,0.968,0,0,0,0,0.368,0.54,0.9
7227.FBpp0088529,7227.FBpp0302749,Zasp66,Zasp67,7227,0.968,0,0,0,0,0.368,0.54,0.9
7227.FBpp0088856,7227.FBpp0112455,glo,Su(f),7227,0.447,0,0,0,0.052,0,0,0.441
7227.FBpp0088856,7227.FBpp0112455,glo,Su(f),7227,0.447,0,0,0,0.052,0,0,0.441
